,Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Bronx,Wakefield,40.89470517661,-73.84720052054902,Lollipops Gelato,40.894123150205274,-73.84589162362325,Dessert Shop
1,Bronx,Wakefield,40.89470517661,-73.84720052054902,Rite Aid,40.896649,-73.8448461,Pharmacy
2,Bronx,Wakefield,40.89470517661,-73.84720052054902,Carvel Ice Cream,40.890486685759605,-73.84856772568665,Ice Cream Shop
3,Bronx,Wakefield,40.89470517661,-73.84720052054902,Cooler Runnings Jamaican Restaurant Inc,40.89827622104366,-73.85038105139019,Caribbean Restaurant
4,Bronx,Wakefield,40.89470517661,-73.84720052054902,Shell,40.894187118166535,-73.84586195733382,Gas Station
5,Bronx,Wakefield,40.89470517661,-73.84720052054902,SUBWAY,40.89065631618457,-73.84919159087512,Sandwich Place
6,Bronx,Wakefield,40.89470517661,-73.84720052054902,Dunkin',40.8904587811365,-73.84908886747644,Donut Shop
7,Bronx,Wakefield,40.89470517661,-73.84720052054902,Central Deli,40.896846,-73.844415,Deli / Bodega
8,Bronx,Wakefield,40.89470517661,-73.84720052054902,Baychester Avenue Food Truck,40.892293193824266,-73.84323016854879,Food Truck
9,Bronx,Co-op City,40.87429419303012,-73.82993910812398,Dollar Tree,40.87012498449601,-73.82898863175873,Discount Store
10,Bronx,Co-op City,40.87429419303012,-73.82993910812398,Capri II Pizza,40.87637420537464,-73.82994042507629,Pizza Place
11,Bronx,Co-op City,40.87429419303012,-73.82993910812398,Rite Aid,40.8703448818904,-73.82830202579498,Pharmacy
12,Bronx,Co-op City,40.87429419303012,-73.82993910812398,Mattress Firm,40.87223414329722,-73.8286072661231,Mattress Store
13,Bronx,Co-op City,40.87429419303012,-73.82993910812398,Baskin Robbins,40.87004451117903,-73.8295779479274,Ice Cream Shop
14,Bronx,Co-op City,40.87429419303012,-73.82993910812398,Arby's,40.87051762174326,-73.82865691534425,Fast Food Restaurant
15,Bronx,Co-op City,40.87429419303012,-73.82993910812398,Food Universe Marketplace,40.87673987981054,-73.82898048976519,Grocery Store
16,Bronx,Co-op City,40.87429419303012,-73.82993910812398,Townhouse Restaurant,40.876085887834265,-73.82886815052547,Restaurant
17,Bronx,Co-op City,40.87429419303012,-73.82993910812398,truman track n field,40.87496253317124,-73.83084729386773,Baseball Field
18,Bronx,Co-op City,40.87429419303012,-73.82993910812398,Guang Hui Chinese Restaurant,40.87660292677318,-73.82971005218339,Chinese Restaurant
19,Bronx,Co-op City,40.87429419303012,-73.82993910812398,Pure Romance Parties By Amy,40.87679203333333,-73.83047571666667,Gift Shop
20,Bronx,Co-op City,40.87429419303012,-73.82993910812398,MTA MaBSTOA Bus Bx23 / Bx26 / Bx28 / Q50 at Asch Loop / alcott Place,40.871387402235094,-73.830646276474,Bus Station
21,Bronx,Co-op City,40.87429419303012,-73.82993910812398,Section 4 Basketball Courts (Co Op City),40.87234472163489,-73.82658004760742,Basketball Court
22,Bronx,Co-op City,40.87429419303012,-73.82993910812398,The Park,40.87764512391663,-73.83083580661068,Park
23,Bronx,Co-op City,40.87429419303012,-73.82993910812398,MTA MaBSTOA Bus Bx23 / Bx30 / Bx38 / Q50 at Donizetti Place & Baychester Ave (Section 1),40.87618793183889,-73.833838139328,Bus Station
24,Bronx,Co-op City,40.87429419303012,-73.82993910812398,MTA MaBSTOA Bus Bx23 / Bx28 / Bx38 / Q50 / BxM7 at Bellamy Loop N. / S. / Co-op City Blvd (Section 3),40.873074871194376,-73.82508873939514,Bus Station
